topic_id,article_id,source_kind,relation_role,confidence,match_reason,reviewed,created_at
peopleapp_hotspot_081c4dee6f,people_daily_20260626_30165069,people_daily_newspaper,规范表达,0.98,主题关键词相符：实事求是、政绩观、事求是、弘扬实事求是的优,0,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,people_daily_20260626_30165119,people_daily_newspaper,规范表达,0.98,主题关键词相符：为民造福、政绩观、人民论坛、最终要落到为民造,0,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,people_daily_20260706_30166912,people_daily_newspaper,规范表达,0.92,主题关键词相符：政绩观,0,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,people_daily_20260713_30168293,people_daily_newspaper,延伸母题,0.96,主题关键词相符：实事求是、真抓实干、政绩观、为民造福,0,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,people_daily_20260725_30170906,people_daily_newspaper,规范表达,0.93,主题关键词相符：政绩观、人民论坛,0,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260625_30052482672_500007563560,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260626_30052492270_500007565705,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260626_30052492296_500007565703,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260629_30052512076_500007570826,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260630_30052522797_500007572438,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260630_30052522798_500007572440,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260630_30052522838_500007572935,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260630_30052525318_500007572627,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260706_30052572446_500007582010,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260708_30052593803_500007585667,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260709_30052604024_500007587674,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_081c4dee6f,peopleapp_opinion_20260725_30052754354_500007616380,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_169b52fa11,peopleapp_opinion_20260706_30052581529_500007583243,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_169b52fa11,peopleapp_opinion_20260707_30052589270_500007585175,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
peopleapp_hotspot_169b52fa11,peopleapp_opinion_20260708_30052595234_500007586029,peopleapp_opinion,媒体观点,1.0,来自人工复核后的APP评论热点归并,1,2026-08-18T16:47:31
